date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2025-04-25,France,Algeria,2,0,CONCACAF Gold Cup,Paris,France,False
2025-04-29,Peru,Sweden,0,1,Friendly,Peru City,Peru,False
2025-05-01,Uruguay,Qatar,0,1,Copa America,Uruguay City,Uruguay,False
2025-05-02,Germany,Japan,1,0,African Cup of Nations,Germany City,Germany,False
2025-05-06,Paraguay,Norway,1,0,AFC Asian Cup,Doha,Qatar,True
2025-05-08,Colombia,Iraq,3,0,AFC Asian Cup,Colombia City,Colombia,False
2025-05-09,Netherlands,South Korea,1,1,African Cup of Nations,Netherlands City,Netherlands,True
2025-05-13,Costa Rica,Poland,0,0,Friendly,Costa Rica City,Costa Rica,True
2025-05-14,Canada,Austria,0,1,FIFA World Cup qualification,Canada City,Canada,False
2025-05-15,Ecuador,Uzbekistan,0,1,African Cup of Nations,Ecuador City,Ecuador,True
2025-05-16,Belgium,Iran,0,1,AFC Asian Cup,Doha,Qatar,False
2025-05-21,Mexico,Serbia,2,1,UEFA Nations League,Mexico City,Mexico,False
2025-05-22,England,Denmark,1,1,Friendly,London,England,True
2025-05-23,Croatia,Saudi Arabia,1,0,FIFA World Cup qualification,Croatia City,Croatia,True
2025-05-28,United States,Turkey,2,1,African Cup of Nations,Los Angeles,United States,False
2025-05-29,Scotland,Sweden,0,2,FIFA World Cup qualification,Scotland City,Scotland,False
2025-05-30,Spain,Australia,3,0,Friendly,Spain City,Spain,True
2025-06-04,Argentina,Czech Republic,3,0,UEFA Nations League,Buenos Aires,Argentina,False
2025-06-05,Wales,Norway,3,1,Copa America,Wales City,Wales,False
2025-06-06,Portugal,Qatar,2,0,CONCACAF Gold Cup,Portugal City,Portugal,False
2025-06-11,Brazil,Chile,2,0,African Cup of Nations,Rio de Janeiro,Brazil,False
2025-06-12,France,Poland,3,0,African Cup of Nations,Paris,France,False
2025-06-13,Italy,Iraq,1,0,UEFA Nations League,Italy City,Italy,True
2025-06-18,Uruguay,Peru,1,1,UEFA Nations League,Uruguay City,Uruguay,False
2025-06-19,Germany,Austria,2,0,FIFA World Cup qualification,Doha,Qatar,False
2025-06-20,Switzerland,Uzbekistan,0,0,African Cup of Nations,Switzerland City,Switzerland,False
2025-06-25,Colombia,Paraguay,2,1,UEFA Nations League,Colombia City,Colombia,False
2025-06-26,Netherlands,Serbia,1,0,Copa America,Netherlands City,Netherlands,False
2025-06-27,Morocco,Denmark,1,0,AFC Asian Cup,Morocco City,Morocco,False
2025-07-02,Ecuador,Costa Rica,0,0,Copa America,Ecuador City,Ecuador,True
2025-07-03,Belgium,Turkey,2,0,AFC Asian Cup,Belgium City,Belgium,False
2025-07-04,Senegal,Sweden,1,1,Friendly,Senegal City,Senegal,False
2025-07-09,England,Canada,2,0,African Cup of Nations,London,England,False
2025-07-10,Croatia,Czech Republic,3,0,Copa America,Croatia City,Croatia,False
2025-07-11,Tunisia,Norway,2,0,Friendly,Tunisia City,Tunisia,False
2025-07-16,Scotland,Mexico,0,1,Copa America,Scotland City,Scotland,False
2025-07-17,Spain,Chile,1,0,AFC Asian Cup,Spain City,Spain,True
2025-07-18,Egypt,Poland,1,1,Copa America,Doha,Qatar,False
2025-07-23,Wales,United States,1,2,AFC Asian Cup,Doha,Qatar,False
2025-07-24,Portugal,Peru,4,0,CONCACAF Gold Cup,Portugal City,Portugal,True
2025-07-25,Nigeria,Austria,2,0,CONCACAF Gold Cup,Nigeria City,Nigeria,False
2025-07-30,France,Argentina,1,1,CONCACAF Gold Cup,Paris,France,True
2025-07-31,Italy,Paraguay,0,1,UEFA Nations League,Doha,Qatar,False
2025-08-01,Ghana,Serbia,1,3,Copa America,Doha,Qatar,True
2025-08-06,Germany,Brazil,2,0,FIFA World Cup qualification,Germany City,Germany,False
2025-08-07,Switzerland,Costa Rica,1,0,UEFA Nations League,Switzerland City,Switzerland,False
2025-08-08,Cameroon,Turkey,1,0,Friendly,Cameroon City,Cameroon,False
2025-08-13,Netherlands,Uruguay,3,0,African Cup of Nations,Netherlands City,Netherlands,False
2025-08-14,Morocco,Canada,0,1,Friendly,Morocco City,Morocco,False
2025-08-15,Algeria,Czech Republic,2,0,UEFA Nations League,Algeria City,Algeria,True
2025-08-20,Belgium,Colombia,1,0,AFC Asian Cup,Doha,Qatar,False
2025-08-21,Senegal,Mexico,1,1,UEFA Nations League,Senegal City,Senegal,False
2025-08-22,Japan,Chile,1,1,Friendly,Japan City,Japan,False
2025-08-27,Croatia,Ecuador,0,0,FIFA World Cup qualification,Doha,Qatar,False
2025-08-28,Tunisia,United States,1,2,UEFA Nations League,Tunisia City,Tunisia,False
2025-08-29,South Korea,Peru,2,0,UEFA Nations League,South Korea City,South Korea,True
2025-09-03,Spain,England,1,2,AFC Asian Cup,Spain City,Spain,False
2025-09-04,Egypt,Argentina,0,1,African Cup of Nations,Egypt City,Egypt,True
2025-09-05,Iran,Paraguay,3,0,Friendly,Iran City,Iran,False
2025-09-10,Portugal,Scotland,2,0,Copa America,Doha,Qatar,False
2025-09-11,Nigeria,Brazil,0,0,FIFA World Cup qualification,Nigeria City,Nigeria,False
2025-09-12,Saudi Arabia,Costa Rica,0,0,African Cup of Nations,Saudi Arabia City,Saudi Arabia,True
2025-09-17,Italy,Wales,0,0,Friendly,Italy City,Italy,False
2025-09-18,Ghana,Uruguay,1,0,AFC Asian Cup,Ghana City,Ghana,False
2025-09-19,Australia,Canada,1,2,Copa America,Australia City,Australia,False
2025-09-24,Switzerland,France,1,0,FIFA World Cup qualification,Doha,Qatar,False
2025-09-25,Cameroon,Colombia,0,1,Friendly,Cameroon City,Cameroon,True
2025-09-26,Qatar,Mexico,0,1,African Cup of Nations,Qatar City,Qatar,False
2025-10-01,Morocco,Germany,2,1,Friendly,Morocco City,Morocco,False
2025-10-02,Algeria,Ecuador,0,0,FIFA World Cup qualification,Algeria City,Algeria,False
2025-10-03,Iraq,United States,2,0,African Cup of Nations,Iraq City,Iraq,True
2025-10-08,Senegal,Netherlands,0,0,Copa America,Senegal City,Senegal,False
2025-10-09,Japan,England,1,0,CONCACAF Gold Cup,Japan City,Japan,True
2025-10-10,Uzbekistan,Argentina,0,2,Friendly,Uzbekistan City,Uzbekistan,False
2025-10-15,Tunisia,Belgium,0,2,CONCACAF Gold Cup,Doha,Qatar,True
2025-10-16,South Korea,Scotland,0,2,Copa America,Doha,Qatar,False
2025-10-17,Denmark,Brazil,0,2,CONCACAF Gold Cup,Denmark City,Denmark,True
2025-10-22,Egypt,Croatia,0,1,Copa America,Egypt City,Egypt,True
2025-10-23,Iran,Wales,0,0,FIFA World Cup qualification,Iran City,Iran,False
2025-10-24,Sweden,Uruguay,2,3,FIFA World Cup qualification,Sweden City,Sweden,False
2025-10-29,Nigeria,Spain,0,2,UEFA Nations League,Nigeria City,Nigeria,False
2025-10-30,Saudi Arabia,France,1,2,UEFA Nations League,Doha,Qatar,True
2025-10-31,Norway,Colombia,0,2,Copa America,Norway City,Norway,False
2025-11-05,Ghana,Portugal,1,1,Copa America,Ghana City,Ghana,False
2025-11-06,Australia,Germany,1,1,CONCACAF Gold Cup,Australia City,Australia,False
2025-11-07,Poland,Ecuador,0,0,CONCACAF Gold Cup,Poland City,Poland,False
2025-11-12,Cameroon,Italy,0,1,CONCACAF Gold Cup,Cameroon City,Cameroon,False
2025-11-13,Qatar,Netherlands,0,1,African Cup of Nations,Qatar City,Qatar,False
2025-11-14,Austria,England,1,2,Friendly,Austria City,Austria,True
2025-11-19,Algeria,Switzerland,0,1,AFC Asian Cup,Doha,Qatar,False
2025-11-20,Iraq,Belgium,0,3,UEFA Nations League,Iraq City,Iraq,True
2025-11-21,Serbia,Scotland,1,1,FIFA World Cup qualification,Serbia City,Serbia,False
2025-11-26,Japan,Morocco,1,1,African Cup of Nations,Japan City,Japan,True
2025-11-27,Uzbekistan,Croatia,0,1,UEFA Nations League,Uzbekistan City,Uzbekistan,False
2025-11-28,Turkey,Wales,1,0,African Cup of Nations,Turkey City,Turkey,False
2025-12-03,South Korea,Senegal,0,1,Friendly,South Korea City,South Korea,False
2025-12-04,Denmark,Spain,1,2,African Cup of Nations,Denmark City,Denmark,False
2025-12-05,Czech Republic,France,0,2,UEFA Nations League,Czech Republic City,Czech Republic,False
